10, 100, 200, 500, 1000, 2000
0.000003,0.002258,0.010609,0.165452,1.407979,16.386441,
0.000001,0.001320,0.009994,0.158119,1.389503,16.586367,
0.000001,0.001453,0.010618,0.154439,1.489088,16.766066,
0.000001,0.001425,0.010198,0.164318,1.333357,15.826007,
0.000001,0.001451,0.010993,0.163911,1.445286,17.080675,
0.000001,0.001369,0.009581,0.157114,1.355954,15.755248,
0.000002,0.001434,0.010887,0.173172,1.486500,14.838669,
0.000001,0.001280,0.009581,0.152628,1.328225,16.423726,
0.000002,0.001497,0.011308,0.158912,1.405147,15.720328,
0.000001,0.001329,0.009605,0.152183,1.316743,16.408901,
